depth,hook_load_avg,wob_avg,rpm_surface_avg,torqueabs_avg,spp_avg,rop_inst,well_bore_code
0.164,48.02,-999.25,0,-8,202.55,-3278.3794,NO 15/9-F-1 C
0.164,48.04,-999.25,0,-8,196.59,-3278.3794,NO 15/9-F-1 C
0.164,48.4,-999.25,0,-8,195.39,-3278.3794,NO 15/9-F-1 C
0.164,48.4,-999.25,0,-8,195.39,-3278.3794,NO 15/9-F-1 C
0.164,48.1,-999.25,0,-8,195.39,-3278.3794,NO 15/9-F-1 C
0.164,48.1,-999.25,0,-6,196.59,-3278.3794,NO 15/9-F-1 C
0.164,48.1,-999.25,0,-6,196.59,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-11,196.59,-3278.3794,NO 15/9-F-1 C
0.164,47.82,-999.25,0,-11,200.56,-3278.3794,NO 15/9-F-1 C
0.164,47.82,-999.25,0,-11,200.56,-3278.3794,NO 15/9-F-1 C
0.164,47.82,-999.25,0,-9,203.35,-3278.3794,NO 15/9-F-1 C
0.164,48.02,-999.25,0,-9,203.35,-3278.3794,NO 15/9-F-1 C
0.164,48.51,-999.25,0,-8,209.32,-3278.3794,NO 15/9-F-1 C
0.164,48.51,-999.25,0,-8,209.32,-3278.3794,NO 15/9-F-1 C
0.164,48.51,-999.25,0,-9,214.49,-3278.3794,NO 15/9-F-1 C
0.164,48.29,-999.25,0,-4,214.49,-3278.3794,NO 15/9-F-1 C
0.164,48.29,-999.25,0,-4,214.49,-3278.3794,NO 15/9-F-1 C
0.164,48.02,-999.25,0,-11,216.08,-3278.3794,NO 15/9-F-1 C
0.164,48.12,-999.25,0,-11,226.42,-3278.3794,NO 15/9-F-1 C
0.164,48.12,-999.25,0,-11,226.42,-3278.3794,NO 15/9-F-1 C
0.164,48.12,-999.25,0,-8,226.42,-3278.3794,NO 15/9-F-1 C
0.164,48.97,-999.25,0,-6,225.63,-3278.3794,NO 15/9-F-1 C
0.164,48.19,-999.25,0,-6,230.4,-3278.3794,NO 15/9-F-1 C
